id,word,words,letter,pos_en,pos_ms,morph,definition_en,definition_ms,example_semai,example_en,example_ms
g982634fb-d674-465f-a3b1-73a47b91bf28,a-,a-,a,,kata sifat,awl,very (intensifier),sangat (imbuhan penegas),"""Aderas, doh hik bidek!"" Ahmad kiurok nu eng.","""Hurry, or we'll get left behind!"" Ahmad said to me.","""Cepat, nanti kita ditinggalkan!"" Ahmad berkata kepada saya."
ga0ed6dc4-5d8e-4487-b97d-e31f9b932b75,,,a,,,,,,,,
gd12518fc-ffe7-46b8-aaf2-4b0bf9b4711a,abat,abat,a,,kata nama,,cloth; clothing,"kain; bahan yang ditenun daripada benang kapas, bulu kambing, dll, dan boleh dibuat pakaian dsb.","Amen ku padeg, Wak Talia kigemar kiber abat batek.","If at home, Wak Talia likes to wear a batik sarong.","Jika di rumah, Wak Talia suka memakai kain batik."
g99243d1c-832f-4570-af90-a8ada99f37e4,abei,abei,a,,kata nama,,mother,ibu; emak; bonda; orang perempuan yang sudah mempunyai anak; pasangan kepada ayah,Wak Semah hajap isengik mendei iabei kinyanyik tenat.,Wak Semah is very worried because her mother is very ill.,Wak Semah susah hati kerana ibunya sakit tenat.
g4806f68c-9d32-4ced-b7bc-18176962c38a,abek,abek,a,,kata nama,,father,bapa; ayah; ayahanda; abah; pasangan kepada ibu; orang lelaki yang sudah mempunyai anak ,"""Abek eng iumur ya 70 tahut, tapi iberog lekat sihat ru kuat,"" Wak Melah kipasal nu ikekawat kerjak mase naibesimbang.","""My father is 70 years old, but his body is still healthy and strong,"" Wak Melah told her colleagues as they chatted.","""Bapa saya sudah berumur 70 tahun, tetapi tubuhnya masih sihat dan kuat,"" Wak Melah memberitahu kepada rakan-rakan sekerjanya semasa mereka bersembang."
g8933e787-9696-4026-a94f-7285fcfb8b8f,,,a,,,,,,,,
gcd8531df-ad69-4756-8cac-02847a9f09ca,,,a,,,,,,,,
gdfc7e16f-e192-4610-80ff-9eced804fa3d,acah,acah,a,,kata kerja,,to joke around; to pretend; to deceive,bergurau-senda; berjenaka; olok-olok; bersenda; berpura-pura; perbuatan yang dilakukan untuk mengelirukan seseorang,"""Agok hapiker ma de kiurok ajeh betol, kek cume kiacah taleh nu hek,"" Wak Senah kiurok nu Bah Miran ha igensir.","""Do not think that what he said is true, he is just joking with you,"" Wak Senah said to Bah Miran regarding her husband.","""Janganlah kamu berfikir perkara yang beliau katakan itu adalah benar, dia cuma bergurau sahaja dengan kamu,"" Wak Senah berkata kepada Bah Miran berkenaan dengan suaminya."
g1fe33c6f-4f43-4e36-8078-e34c32cbc72f,acoi,acoi,a,,kata nama,,younger brother-in-law,adik ipar lelaki,"""Mase jarsemanj kerjak, had acoi eng taleh de kep kerjak ku kilang Proton Tanjong Malim, tapi eng tok,"" Bah Gani kipasal nu ikekawat.","""When we applied for a job, only my brother-in-law got a job at the Proton Tanjong Malim factory, but I did not,"" Bah Gani told his friends.","""Semasa kami memohon pekerjaan, cuma adik ipar saya sahaja yang mendapat kerja di kilang Proton Tanjong Malim, tetapi saya tidak,"" Bah Gani memberitahu kepada rakan-rakannya."
gb4b70b06-753d-48af-9d81-8412f1d65993,adat,adat,a,,kata nama,,"custom; the laws, regulations or statutes set by a traditional society","adat; undang-undang, peraturan atau hukum yang ditetapkan oleh sesuatu masyarakat tradisi",,,
