Type,ID,Requirement,Priority,Source
FR,FR-01,"The system shall show a splash screen and route users to /auth or /home based on Supabase session state.",Must,"src/App.tsx; src/navigation/AppRouter.tsx"
FR,FR-02,"Users shall be able to sign up, sign in, sign out, request password reset, and update password/profile.",Must,"src/lib/auth.ts; src/pages/AuthPage.tsx; src/pages/ResetPasswordPage.tsx; src/pages/ProfilePage.tsx"
FR,FR-03,"Authenticated users shall access a role-aware home shell with route-based navigation.",Must,"src/pages/HomePage.tsx"
FR,FR-04,"Elder Studio shall support recording/importing audio, metadata tagging, local draft save, and cloud sync preparation.",Must,"src/lib/elderStudio.ts; src/pages/ElderStudioTab.tsx"
FR,FR-05,"The system shall provide offline-first sync states for recordings (local_only, syncing, synced, sync_failed).",Must,"src/lib/elderStudio.ts"
FR,FR-06,"Sound Archive shall list recordings, play audio, show sync state, paginate, and allow sync/retry actions.",Must,"src/pages/SoundArchiveTab.tsx"
FR,FR-07,"The review workflow shall allow transcription retry and approval flow, including optional word promotion.",Should,"src/lib/elderStudio.ts; src/pages/ArchiveReviewPage.tsx"
FR,FR-08,"Translation shall support semai, ms, and en via edge function ai-translate with auth token refresh handling.",Must,"src/lib/translate.ts; src/pages/TranslatePage.tsx"
FR,FR-09,"AI Helper shall support guided actions (start_session, continue_session, end_session, translate_inline) with session state persistence.",Must,"src/lib/aiCoach.ts; src/pages/AiHelperPage.tsx"
FR,FR-10,"Language Garden shall provide quiz, vocab, and wordle loops with level-up progression flow.",Must,"src/pages/LanguageGardenTab.tsx; src/pages/QuizGame.tsx; src/pages/VocabMaster.tsx; src/pages/WordleGame.tsx; src/pages/LevelUpPage.tsx"
FR,FR-11,"Story module shall support browse, search, detail, and read routes.",Must,"src/pages/StoryPage.tsx; src/pages/StoryDetailPage.tsx; src/pages/StoryReadPage.tsx"
FR,FR-12,"Profile module shall support edit/settings subroutes and redirect unauthenticated users to /auth.",Should,"src/pages/ProfilePage.tsx"
NFR,NFR-01,"Edge-function calls requiring identity shall use bearer token validation and refresh logic.",Must,"src/lib/translate.ts; src/lib/elderStudio.ts"
NFR,NFR-02,"Offline operations shall preserve recording data and pending sync queue across sessions.",Must,"src/lib/storage.ts; src/lib/elderStudio.ts"
NFR,NFR-03,"Core local experience shall remain usable when offline (archive visibility, local audio handling, queued sync).",Must,"src/pages/SoundArchiveTab.tsx; src/lib/elderStudio.ts"
NFR,NFR-04,"User interactions shall provide responsive feedback via micro-interactions and haptics on key actions.",Should,"src/lib/feedback.ts; src/pages/*.tsx"
NFR,NFR-05,"The UI shall communicate loading, success, warning, and error states clearly (spinners, toasts, messages).",Must,"src/pages/*.tsx"
NFR,NFR-06,"Controls should maintain baseline accessibility through labels and semantic input/button usage.",Should,"src/pages/TranslatePage.tsx; src/pages/AuthPage.tsx; src/pages/*.tsx"
NFR,NFR-07,"The codebase shall remain TypeScript-strict and modular for maintainability.",Must,"tsconfig.json; src/lib/*; src/pages/*; src/stores/*"
NFR,NFR-08,"Core business logic should be unit-testable and covered by existing tests.",Should,"src/lib/*.test.ts"
NFR,NFR-09,"App behavior should work across web and Capacitor targets without platform-dependent failure.",Should,"capacitor.config.ts; src/navigation/AppRouter.tsx"
NFR,NFR-10,"AI provider assignments shall follow documentation correction: Coqui for TTS and Nano Banana for image generation only.",Must,"docs/final/DOCUMENTATION_CORRECTIONS.md"
